Darkness|暗闇
Transparent|透明
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Ledge (Stone)|段差（石）
Ledge (Stone)|段差（石）
Ledge (Stone)|段差（石）
Ground (Stone)|床（石）
Ground (Stone)|床（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Ledge (Stone)|段差（石）
Rooftop (Stone)|屋上（石）
Ledge (Stone)|段差（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Ledge (Stone)|段差（石）
Ledge (Stone)|段差（石）
Ledge (Stone)|段差（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone)|屋上（石）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Rooftop (Stone, Ruins)|屋上（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Ledge (Stone, Ruins)|段差（石・廃墟）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Wall (Stone)|壁（石）
Wall (Stone)|壁（石）
Wall (Stone)|壁（石）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Wall (Stone)|壁（石）
Wall (Stone)|壁（石）
Wall (Stone)|壁（石）
Stairs (Stone)|階段（石）
Stairs (Stone)|階段（石）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Rooftop (Stone, Snow)|屋上（石・雪）
Wall (Stone)|壁（石）
Wall (Stone)|壁（石）
Wall (Stone)|壁（石）
Stairs (Stone)|階段（石）
Stairs (Stone)|階段（石）
Wall (Brick)|壁（レンガ）
Wall (Brick)|壁（レンガ）
Wall (Brick)|壁（レンガ）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Stairs (Stone)|階段（石）
Stairs (Stone)|階段（石）
Wall (Brick)|壁（レンガ）
Wall (Brick)|壁（レンガ）
Wall (Brick)|壁（レンガ）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
