Transparent|透明
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Tapestry|タペストリー
Curtains|カーテン
Curtains (Ruins)|カーテン(廃墟)
NONE
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Tapestry|タペストリー
Curtains|カーテン
Curtains (Ruins)|カーテン(廃墟)
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Curtains|カーテン
Curtains|カーテン
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Railings (Wood, Ruins)|段差用手すり（木製・廃墟）
Railings (Wood, Ruins)|段差用手すり（木製・廃墟）
Railings (Wood, Ruins)|段差用手すり（木製・廃墟）
Curtains|カーテン
Curtains|カーテン
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Curtains (Ruins)|カーテン(廃墟)
Curtains (Ruins)|カーテン(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Railings (Wood, Ruins)|段差用手すり（木製・廃墟）
Railings (Wood, Ruins)|段差用手すり（木製・廃墟）
Railings (Wood, Ruins)|段差用手すり（木製・廃墟）
Curtains (Ruins)|カーテン(廃墟)
Curtains (Ruins)|カーテン(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Entrance|入口
Light|明かり
Cross|十字架
Window|窓
Window|窓
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Entrance|入口
Light|明かり
Cross|十字架
Window|窓
Window|窓
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Stained Glass Window|ステンドグラス
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Stained Glass Window|ステンドグラス
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Stained Glass Window (Ruins)|ステンドグラス(廃墟)
Stone Object (Plant)|石のオブジェ(植物)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Stained Glass Window (Ruins)|ステンドグラス(廃墟)
Stone Object (Plant)|石のオブジェ(植物)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Window|窓
Window|窓
Window|窓
Window|窓
Potted Plant|植木鉢
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Wood Stairs (Ruins)|木製階段(廃墟)
Window|窓
Window|窓
Window|窓
Window|窓
Potted Plant|植木鉢
Haystack|干し草
Haystack|干し草
Haystack|干し草
Haystack|干し草
Haystack|干し草
Haystack|干し草
Hay|干し草
Potted Plant (Withered )|植木鉢(枯れ)
Haystack|干し草
Haystack|干し草
Haystack|干し草
Haystack|干し草
Haystack|干し草
Haystack|干し草
Hay|干し草
Potted Plant (Withered )|植木鉢(枯れ)
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Window|窓
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Window|窓
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Angel Statue|天使像
Angel Statue|天使像
Bed|ベッド
